id,label
0,2
1,4
2,3
3,4
4,2
5,3
6,4
7,5
8,2
9,3
10,4
11,2
12,6
13,2
14,4
15,2
16,0
17,5
18,3
19,5
20,3
21,2
22,2
23,3
24,4
25,3
26,2
27,4
28,2
29,5
30,6
31,3
32,2
33,3
34,0
35,2
36,4
37,4
38,3
39,4
40,3
41,6
42,4
43,4
44,2
45,2
46,6
47,0
48,3
49,4
50,5
51,4
52,4
53,6
54,3
55,6
56,0
57,5
58,6
59,3
60,6
61,4
62,3
63,2
64,4
65,6
66,2
67,4
68,3
69,3
70,2
71,2
72,5
73,2
74,3
75,2
76,6
77,3
78,2
79,4
80,4
81,4
82,2
83,6
84,6
85,6
86,5
87,2
88,3
89,3
90,0
91,5
92,6
93,5
94,6
95,4
96,0
97,6
98,5
99,4
100,2
101,6
102,6
103,3
104,5
105,6
106,2
107,4
108,2
109,5
110,3
111,4
112,5
113,4
114,6
115,3
116,6
117,3
118,6
119,4
120,6
121,0
122,4
123,3
124,5
125,5
126,5
127,3
128,6
129,3
130,2
131,3
132,6
133,2
134,3
135,2
136,6
137,4
138,5
139,6
140,5
141,4
142,5
143,5
144,2
145,4
146,6
147,2
148,4
149,4
150,5
151,4
152,2
153,5
154,2
155,3
156,3
157,2
158,6
159,4
160,6
161,6
162,6
163,2
164,6
165,4
166,2
167,2
168,6
169,4
170,4
171,2
172,2
173,4
174,4
175,5
176,6
177,2
178,5
179,3
180,3
181,3
182,2
183,2
184,3
185,3
186,6
187,6
188,3
189,4
190,4
191,3
192,4
193,4
194,6
195,4
196,3
197,4
198,5
199,2
200,5
201,0
202,6
203,3
204,2
205,2
206,2
207,3
208,2
209,2
210,6
211,2
212,2
213,5
214,3
215,2
216,5
217,6
218,5
219,3
220,4
221,3
222,6
223,6
224,5
225,3
226,4
227,4
228,6
229,6
230,2
231,4
232,2
233,2
234,3
235,5
236,6
237,6
238,4
239,2
240,2
241,4
242,5
243,0
244,2
245,6
246,4
247,6
248,3
249,2
250,5
251,5
252,3
253,4
254,2
255,6
256,2
257,4
258,6
259,4
260,5
261,2
262,5
263,3
264,4
265,3
266,6
267,2
268,4
269,2
270,4
271,2
272,6
273,4
274,3
275,2
276,5
277,6
278,4
279,6
280,3
281,2
282,6
283,3
284,5
285,6
286,6
287,2
288,5
289,4
290,4
291,2
292,6
293,3
294,6
295,4
296,6
297,5
298,4
299,5
300,2
301,3
302,6
303,4
304,2
305,0
306,0
307,5
308,6
309,2
310,4
311,4
312,6
313,5
314,5
315,6
316,5
317,2
318,4
319,2
320,4
321,4
322,4
323,2
324,2
325,4
326,6
327,4
328,4
329,6
330,3
331,4
332,6
333,6
334,3
335,4
336,3
337,5
338,6
339,3
340,6
341,4
342,3
343,2
344,2
345,5
346,2
347,4
348,6
349,2
350,6
351,6
352,6
353,5
354,5
355,4
356,5
357,2
358,3
359,6
360,5
361,6
362,5
363,5
364,4
365,4
366,4
367,3
368,6
369,3
370,6
371,5
372,6
373,2
374,4
375,6
376,5
377,3
378,3
379,2
380,4
381,4
382,3
383,4
384,5
385,2
386,5
387,4
388,2
389,6
390,3
391,5
392,4
393,6
394,5
395,2
396,3
397,4
398,4
399,3
400,6
401,2
402,4
403,6
404,4
405,2
406,5
407,6
408,4
409,4
410,3
411,4
412,4
413,3
414,4
415,0
416,2
417,4
418,2
419,2
420,2
421,6
422,2
423,6
424,4
425,0
426,5
427,6
428,2
429,6
430,2
431,3
432,0
433,6
434,4
435,5
436,2
437,4
438,6
439,3
440,6
441,3
442,5
443,4
444,6
445,2
446,4
447,5
448,6
449,4
450,3
451,6
452,6
453,4
454,4
455,4
456,2
457,0
458,0
459,6
460,3
461,3
462,6
463,2
464,4
465,2
466,3
467,4
468,3
469,5
470,4
471,3
472,0
473,6
474,4
475,3
476,2
477,2
478,4
479,2
480,3
481,6
482,6
483,4
484,6
485,2
486,6
487,3
488,2
489,5
490,4
491,6
492,3
493,4
494,0
495,2
496,2
497,3
498,5
499,4
500,3
501,2
502,2
503,6
504,4
505,6
506,2
507,2
508,0
509,6
510,6
511,6
512,2
513,4
514,6
515,4
516,4
517,3
518,4
519,4
520,2
521,2
522,4
523,2
524,4
525,4
526,3
527,4
528,2
529,3
530,4
531,2
532,6
533,2
534,3
535,3
536,4
537,4
538,3
539,4
540,5
541,5
542,0
543,6
544,3
545,5
546,4
547,6
548,4
549,2
550,6
551,2
552,6
553,3
554,4
555,3
556,4
557,6
558,4
559,2
560,3
561,3
562,3
563,5
564,2
565,3
566,4
567,2
568,4
569,3
570,3
571,2
572,3
573,5
574,2
575,6
576,3
577,2
578,4
579,4
580,2
581,2
582,5
583,5
584,0
585,4
586,4
587,6
588,4
589,3
590,6
591,3
592,3
593,0
594,0
595,4
596,3
597,3
598,2
599,5
600,6
601,0
602,6
603,2
604,4
605,5
606,5
607,4
608,3
609,6
610,4
611,3
612,6
613,4
614,4
615,2
616,2
617,3
618,2
619,4
620,4
621,6
622,2
623,6
624,0
625,5
626,4
627,2
628,4
629,6
630,2
631,5
632,4
633,6
634,4
635,4
636,0
637,0
638,3
639,6
640,4
641,4
642,4
643,4
644,6
645,6
646,4
647,6
648,2
649,3
650,6
651,4
652,6
653,4
654,3
655,3
656,2
657,4
658,0
659,4
660,5
661,2
662,3
663,4
664,3
665,6
666,2
667,6
668,5
669,6
670,4
671,3
672,6
673,4
674,4
675,6
676,2
677,4
678,6
679,6
680,5
681,5
682,3
683,4
684,4
685,2
686,4
687,4
688,2
689,3
690,3
691,3
692,3
693,6
694,3
695,2
696,2
697,4
698,4
699,3
700,5
701,3
702,2
703,2
704,2
705,3
706,6
707,3
708,3
709,4
710,2
711,5
712,2
713,6
714,2
715,6
716,2
717,3
718,4
719,4
720,6
721,2
722,4
723,6
724,2
725,2
726,5
727,0
728,2
729,6
730,0
731,4
732,3
733,2
734,6
735,0
736,2
737,5
738,4
739,4
740,2
741,4
742,2
743,3
744,2
745,6
746,3
747,5
748,5
749,2
750,4
751,4
752,4
753,2
754,6
755,2
756,6
757,2
758,2
759,6
760,3
761,6
762,3
763,5
764,6
765,0
766,2
767,2
768,5
769,6
770,5
771,5
772,3
773,2
774,2
775,5
776,2
777,2
778,5
779,4
780,6
781,6
782,2
783,0
784,4
785,2
786,3
787,5
788,0
789,6
790,4
791,4
792,2
793,2
794,0
795,5
796,0
797,3
798,6
799,2
800,0
801,3
802,2
803,4
804,6
805,5
806,2
807,3
808,2
809,5
810,4
811,6
812,4
813,4
814,3
815,2
816,4
817,2
818,2
819,3
820,3
821,5
822,5
823,4
824,2
825,4
826,2
827,2
828,4
829,3
830,4
831,4
832,2
833,6
834,2
835,3
836,3
837,3
838,2
839,5
840,4
841,4
842,2
843,0
844,4
845,6
846,3
847,4
848,6
849,3
850,4
851,0
852,4
853,3
854,3
855,6
856,6
857,3
858,0
859,4
860,3
861,3
862,3
863,2
864,2
865,6
866,5
867,3
868,5
869,3
870,0
871,3
872,2
873,6
874,3
875,4
876,3
877,0
878,5
879,4
880,4
881,6
882,6
883,2
884,5
885,2
886,2
887,2
888,6
889,4
890,4
891,4
892,3
893,2
894,0
895,6
896,4
897,4
898,5
899,4
900,4
901,4
902,4
903,6
904,5
905,4
906,5
907,2
908,2
909,2
910,4
911,2
912,5
913,5
914,2
915,4
916,0
917,6
918,4
919,4
920,2
921,2
922,3
923,6
924,4
925,3
926,2
927,6
928,4
929,2
930,0
931,5
932,2
933,5
934,4
935,3
936,4
937,5
938,3
939,0
940,3
941,5
942,6
943,3
944,4
945,6
946,3
947,4
948,2
949,2
950,4
951,2
952,3
953,5
954,3
955,3
956,5
957,2
958,5
959,3
960,3
